farm_name,lat,lon,E_utm,N_utm
18-14,31.487926744825426,48.71549436934698,282999.2795,3485938.8915999997
18-15,31.478938651049717,48.711690074533294,282617.032,3484949.8841000004
18-16,31.488168728780845,48.71283257885817,282746.9395,3485970.9941000002
18-17,31.479186568656615,48.7089619560991,282358.37950000004,3484982.7841
18-18,31.488416678869154,48.71010411264812,282488.27950000006,3486003.8966000006
18-19,31.47942849560741,48.706300405193375,282106.03949999996,3485014.8940999997
18-20,31.488658594338403,48.70744230050925,282235.9395,3486036.0040999996
18-21,31.479668463813162,48.7036584655114,281855.5595,3485046.7540999996
18-22,31.48889857350021,48.70480010096537,281985.4595,3486067.8641
18-23,31.47991419207126,48.70095364972848,281599.11950000003,3485079.3841
18-24,31.489144312955034,48.702095019128755,281729.0195,3486100.4941
18-25,31.48015404848207,48.698311689873066,281348.63950000005,3485111.2441
18-26,31.48938417933708,48.69945274679123,281478.53449999995,3486132.3541
18-27,31.48039456468374,48.69566309860864,281097.532,3485143.1966
18-28,31.489629179294077,48.69675473492832,281222.766725,3486164.90065
19-01,31.48612849366897,48.735255213883,284872.6545,3485700.5616
19-02,31.476898379275095,48.73411203383963,284742.892,3484679.4341
19-03,31.485878739373113,48.737996425948246,285132.532,3485667.4941
19-04,31.49485759257747,48.739110433394025,285258.907,3486660.8241
19-05,31.485638020971184,48.740638500586655,285383.012,3485635.6291
19-06,31.476408061066945,48.73949331475922,285253.1095,3484614.5191
19-07,31.48539149958178,48.743343326326546,285639.44200000004,3485603.0040999996
19-08,31.476161551161532,48.74219787458426,285509.53949999996,3484581.8940999997
19-09,31.485150714466645,48.74598537948417,285889.922,3485571.1440999997
19-10,31.475920777283445,48.744839668005575,285760.0195,3484550.0341
19-11,31.484904033555935,48.74869018540518,286146.352,3485538.5141000003
19-12,31.47567410789655,48.747544208029765,286016.4495,3484517.4041
19-13,31.48466313665577,48.751332218137364,286396.832,3485506.6541
19-14,31.475433222272322,48.75018598104311,286266.92949999997,3484485.5440999996
19-15,31.484417668347785,48.75402268396139,286651.9045,3485474.1991
19-16,31.475187743389515,48.752876209232866,286522.00450000004,3484453.0866
19-17,31.48417140028698,48.75672223466501,286907.8395,3485441.6441
19-18,31.474941509428486,48.755575494040556,286777.9395,3484420.5341
19-19,31.483928447228188,48.759383884098554,287160.18200000003,3485409.5365999998
19-20,31.47470680157114,48.7581776271016,287024.67008333333,3484389.4545833333
19-21,31.483687304233854,48.76202587643148,287410.662,3485377.6741
19-22,31.47646814877816,48.76112852243096,287309.05985,3484579.0112500004
19-23,31.48344028186244,48.76473072467217,287667.102,3485345.0440999996
19-24,31.475984894590237,48.76380379035395,287562.17480000004,3484520.24565
19-25,31.483199049637065,48.7673726959564,287917.582,3485313.1841
19-26,31.47554166209718,48.76638470250512,287806.41664999997,3484466.1062249998
19-27,31.483014208008058,48.7693933757861,288109.158575,3485288.7830000003
